,importance
Votes,0.5501020978732604
Longitude,0.11860449153348143
Latitude,0.1023373333339732
Primary Cuisine_enc,0.061284260084016384
Average Cost for two,0.054842080747011364
Country Code,0.054074233208227046
Cuisine Count,0.015619300335911593
City_enc,0.014166530456104137
Currency_enc,0.011094846178686826
Has Online delivery,0.007234260591141165
Price range,0.006825386516655797
Has Table booking,0.003169239826690067
Is delivering now,0.0006459393148406409
Switch to order menu,0.0
