City,restaurant_count,avg_rating,avg_cost_for_two,avg_price_range,avg_votes
London,20,4.54,64.5,3.0,436.2
Rio de Janeiro,19,4.49,129.74,3.53,21.05
Orlando,20,4.47,40.25,2.9,1199.45
Tampa Bay,20,4.41,34.75,2.55,1370.35
Rest of Hawaii,20,4.41,31.75,2.35,752.75
Bangalore,20,4.38,1232.5,2.7,2805.75
Dubai,20,4.37,211.75,3.05,934.65
Jakarta,16,4.36,308437.5,3.0,742.69
Hyderabad,18,4.34,1361.11,2.89,1340.83
Chennai,20,4.31,1085.0,2.45,1384.75
Sandton,11,4.3,375.91,3.82,491.82
Abu Dhabi,20,4.3,182.0,3.3,302.25
Ankara,20,4.3,87.25,2.8,131.35
��stanbul,14,4.29,81.43,2.86,860.21
Auckland,20,4.28,68.25,3.05,339.75
Boise,20,4.26,27.25,2.05,519.05
Kolkata,20,4.26,1272.5,2.85,2229.65
Wellington City,20,4.25,71.25,3.25,146.3
Des Moines,20,4.24,28.0,2.15,554.6
Goa,20,4.24,1175.0,3.65,754.9
Pune,20,4.22,1337.5,2.95,1036.6
Pensacola,20,4.2,30.25,2.35,844.5
Athens,20,4.2,19.0,1.6,637.5
Johannesburg,6,4.2,470.0,4.0,617.67
Lucknow,21,4.2,859.52,2.57,434.76
Pretoria,20,4.19,492.25,3.7,156.3
Guwahati,21,4.19,821.43,2.52,236.38
Cedar Rapids/Iowa City,20,4.16,25.75,2.05,332.3
Ahmedabad,21,4.16,857.14,2.57,584.1
S��o Paulo,17,4.15,175.0,3.82,32.65
Savannah,20,4.15,32.5,2.35,768.85
Coimbatore,20,4.14,782.5,2.4,210.95
Davenport,18,4.13,25.28,2.0,167.61
Jaipur,20,4.13,1310.0,2.85,552.4
Augusta,20,4.13,27.0,2.15,395.45
Macon,20,4.12,27.25,2.05,263.6
Dalton,20,4.11,16.0,1.4,128.05
Cape Town,20,4.11,297.2,3.2,270.75
Edinburgh,20,4.09,38.5,2.9,112.3
Kochi,20,4.08,730.0,2.05,359.95
Mumbai,20,4.08,1072.5,2.75,1484.85
Doha,20,4.06,223.75,3.65,163.8
Dehradun,20,4.05,727.5,3.05,121.5
Chandigarh,18,4.05,1072.22,2.5,574.61
Gainesville,20,4.04,21.25,1.75,220.4
Manchester,20,4.04,49.25,2.7,203.8
Sharjah,20,4.03,105.5,3.3,243.65
Columbus,20,4.03,26.75,2.15,269.35
Vadodara,20,4.03,820.0,2.6,186.0
Vizag,20,4.0,780.0,2.35,163.85
Bhubaneshwar,21,3.98,678.57,1.86,202.05
Ludhiana,20,3.98,1160.0,2.65,143.05
Indore,20,3.97,960.0,2.75,238.85
Nagpur,20,3.96,715.0,2.3,172.8
Agra,20,3.96,1065.0,2.65,103.1
Bhopal,20,3.95,620.0,2.15,143.85
Surat,20,3.94,812.5,2.65,183.35
Birmingham,19,3.87,40.0,2.42,73.16
Colombo,20,3.87,2375.0,2.85,146.45
Kanpur,20,3.82,915.0,2.7,94.9
Sioux City,20,3.76,24.25,1.9,157.8
Mangalore,20,3.74,782.5,2.5,218.35
Puducherry,20,3.73,842.5,3.0,342.4
Valdosta,20,3.72,29.25,2.25,210.0
Mysore,20,3.7,814.5,2.45,212.9
Amritsar,21,3.69,480.95,1.81,174.52
Bras�_lia,19,3.68,124.74,3.21,11.32
Pocatello,19,3.67,20.53,1.79,137.16
Waterloo,20,3.65,21.25,1.75,104.15
Singapore,20,3.58,155.75,3.65,31.9
Albany,20,3.56,19.75,1.7,83.8
Dubuque,20,3.54,23.75,1.9,101.05
Nashik,20,3.52,662.5,2.8,104.75
Varanasi,20,3.51,505.0,2.45,86.45
Ranchi,20,3.45,735.0,2.05,90.35
Patna,20,3.45,797.5,2.45,76.0
Allahabad,20,3.4,517.5,2.65,69.6
Aurangabad,20,3.38,622.5,2.2,64.8
Gurgaon,890,3.33,798.34,2.0,148.29
New Delhi,4048,3.3,692.13,1.77,154.91
Noida,696,3.16,630.46,1.77,105.1
Ghaziabad,23,3.1,628.26,1.87,102.83
Faridabad,151,3.1,493.38,1.56,42.42
